"Orig_Full","taxonomicStatus","accepted_name","accepted_species","accepted_family","taxonID","Accepted_name_rank","Source","Orig_Binomial","Growth.Form"
"Araucaria araucana","Accepted","Araucaria araucana","Araucaria araucana","Araucariaceae","1538862","species","wcvp","Araucaria araucana","Árbol"
"Austrocedrus chilensis","Accepted","Austrocedrus chilensis","Austrocedrus chilensis","Cupressaceae","1702442","species","wcvp","Austrocedrus chilensis","Árbol"
"Fitzroya cupressoides","Accepted","Fitzroya cupressoides","Fitzroya cupressoides","Cupressaceae","1765669","species","wcvp","Fitzroya cupressoides","Árbol"
"Pilgerodendron uviferum","Accepted","Pilgerodendron uviferum","Pilgerodendron uviferum","Cupressaceae","1606088","species","wcvp","Pilgerodendron uviferum","Árbol"
"Ephedra americana","Accepted","Ephedra americana","Ephedra americana","Ephedraceae","262782","species","wcvp","Ephedra americana","Arbusto"
"Ephedra chilensis","Accepted","Ephedra chilensis","Ephedra chilensis","Ephedraceae","1815057","species","wcvp","Ephedra chilensis","Arbusto"
"Ephedra gracilis","Accepted","Ephedra gracilis","Ephedra gracilis","Ephedraceae","2178985","species","wcvp","Ephedra gracilis","Arbusto"
"Ephedra multiflora","Accepted","Ephedra multiflora","Ephedra multiflora","Ephedraceae","1815099","species","wcvp","Ephedra multiflora","Arbusto"
"Ephedra ochreata","Accepted","Ephedra ochreata","Ephedra ochreata","Ephedraceae","262959","species","wcvp","Ephedra ochreata","Arbusto"
"Ephedra trifurcata","Accepted","Ephedra trifurcata","Ephedra trifurcata","Ephedraceae","1815125","species","wcvp","Ephedra trifurcata","Arbusto"
"Lepidothamnus fonkii","Accepted","Lepidothamnus fonkii","Lepidothamnus fonkii","Podocarpaceae","521929","species","wcvp","Lepidothamnus fonkii","Arbusto"
"Podocarpus nubigena","Synonym","Podocarpus nubigenus","Podocarpus nubigenus","Podocarpaceae","427827","species","wcvp","Podocarpus nubigena","Árbol"
"Prumnopitys andina","Accepted","Prumnopitys andina","Prumnopitys andina","Podocarpaceae","1664506","species","wcvp","Prumnopitys andina","Árbol"
"Saxegothaea conspicua","Accepted","Saxegothaea conspicua","Saxegothaea conspicua","Podocarpaceae","427861","species","wcvp","Saxegothaea conspicua","Árbol"
"Jubaea chilensis","Accepted","Jubaea chilensis","Jubaea chilensis","Arecaceae","37796","species","wcvp","Jubaea chilensis","Árbol"
"Aextoxicon punctatum","Accepted","Aextoxicon punctatum","Aextoxicon punctatum","Aextoxicaceae","176326","species","wcvp","Aextoxicon punctatum","Árbol"
"Tetragonia angustifolia","Accepted","Tetragonia angustifolia","Tetragonia angustifolia","Aizoaceae","1615180","species","wcvp","Tetragonia angustifolia","Arbusto"
"Tetragonia maritima","Accepted","Tetragonia maritima","Tetragonia maritima","Aizoaceae","2046412","species","wcvp","Tetragonia maritima","Arbusto"
"Haplorhus peruviana","Accepted","Haplorhus peruviana","Haplorhus peruviana","Anacardiaceae","13219","species","wcvp","Haplorhus peruviana","Árbol"
