"ID_reference","Reference"
1,"Riedemann, M., Teillier, S., & Aldunate, G. (2014). Arbustos nativos de la zona centro-sur de Chile. Guía de Campo. Ed. Corporación Chilena de la Madera. https://fundacionphilippi.cl/wp-content/uploads/2018/10/guia_de_arbustos_corma.pdf"
2,"Rojas, G. (2020). Reverdecer y colorear Santiago. Servicio Nacional del Patrimonio Cultural. https://www.investigacion.patrimoniocultural.gob.cl/sites/www.investigacion.patrimoniocultural.gob.cl/files/2021-11/Reverdecer_y_colorear_santiago.pdf"
3,"Hoffmann, A. (1979). Flora Silvestre de Chile, zona central. Fundación Claudio Gay."
4,"Hoffmann, A. (1997). Flora silvestre de Chile, zona araucana (Fundación Claudio Gay)."
5,"Riedemann, P., & Aldunate, G. (2014). Flora Nativa de Valor Ornamental, Identificación y Propagación: Chile, Zona centro. Corporación Jardín Botánico Chagual. Chile."
6,"Arancio, G., Jara, P., Marticorena, C., & Squeo, F. A. (2004). Flora de las cumbres de la Cordillera de la Costa en el Parque Nacional Bosque Fray Jorge. 71-92. http://www.biouls.cl/lfrayjorge/Cap%2004.pdf"
7,"Faundez, L., Faundez, A., Flores, R., & Bobadilla, P. (2017). Guía de Reconocimiento Especies Dominantes de la Vegetación Región de Coquimbo. CONAF-BIOTA- GEF/SIMEF. https://www.researchgate.net/publication/336141221_Guia_de_Reconocimiento_Especies_Dominantes_de_la_Vegetacion_Region_de_Coquimbo_CONAF-BIOTA-GEFSIMEF"
8,"Riedemann, P., Aldunate, G., & Teillier, S. (2019). Flora Nativa de Valor Ornamental, Identificación y Propagación: Chile, Zona cordillera de los andes. Corporación Jardín Botánico Chagual. Chile."
9,"Belov, M. (En Línea). LISTA DE PRECIOS PARA LAS SEMILLAS, CLASIFICADA SEGUN EL NOMBRE COMUN. ChileFlora. http://www.chileflora.com/Florachilena/FloraEnglish/EPlantdbase.htm"
10,"Riedemann, P., Aldunate, G., & Teillier, S. (2016). Flora Nativa de Valor Ornamental, Identificación y Propagación: Chile, Zona norte. Corporación Jardín Botánico Chagual. Chile."
11,"Ministerio de medio ambiente. (En linea). Inventario nacional de especies de Chile. Inventario de especies silvestres. http://especies.mma.gob.cl/CNMWeb/Web/WebCiudadana/Default.aspx"
12,"Arancio, G., & Marticorena, A. (2008). Descripción de las Especies con Problemas de Conservación en la Región de Atacama, Chile. 61-95."
13,"Burkart, A. (1966). Contribución al estudio del género Adesmia (Leguminosae), VI. Darwiniana, 145-298"
14,"Gonzalez, J., & Molina, J. (2017). Flora nativa de la Region de Arica y Parinacota (Universidad de Tarapacá). http://sb.uta.cl/libros/Flora1.pdf"
15,"Celedon, F. (2019). Evaluación de la hidrosiembra de Adesmia balsamica Bertero sobre taludes con geomantas orgánicas y pendientes de 45° y 60° en carreteras de la zona central de Chile [Pontificia Universidad Catolica de Valparaiso]. http://opac.pucv.cl/pucv_txt/Txt-8500/UCC8889_01.pdf"
16,"Garcia, C., & Jimenez, P. (2015). Altos Valores de la Biodiversidad Protegida en Forestal Mininco. Forestal Mininco. https://www.forestalmininco.cl/wp-content/uploads/2015/04/Altos-Valores-de-la-Biodiversidad-Protegida-en-Forestal-Mininco-es.pdf"
17,"Yáñez, M., Gómez, P., Gajardo, J., & Espinoza, S. (2021). Growth and physiological acclimation to shade in young plants of Adesmia bijuga Phil., a critically endangered species in central Chile. IForest - Biogeosciences and Forestry, 14(4), Art. 4. https://doi.org/10.3832/ifor3640-014"
