"ID_record","accepted_species","traitName","traitUnit","traitValue","originalValue","source_species","ID_reference"
26,"Acrisione cymosa","Max_plant_height","m","6","6","Acrisione cymosa",1
27,"Acrisione cymosa","Max_plant_height","m","6","6","Acrisione cymosa",2
2167,"Acrisione cymosa","Seed_mass","mg","0.331",NA,"Acrisione cymosa",184
4414,"Acrisione cymosa","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Acrisione cymosa",253
4415,"Acrisione cymosa","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Serrate","Acrisione cymosa",2
4416,"Acrisione cymosa","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Serrate-toothed","Acrisione cymosa",1
4417,"Acrisione cymosa","Leaf_margin_type_2","Cerrate, Crenate, Crenulate, Glandular, Incised, Lobed, Mamelonated, Membranous, Mucronate, Revolute, Spiny, Strigose, Toothed, Wavy","Toothed","Serrate-toothed","Acrisione cymosa",1
7248,"Acrisione cymosa","Leaf_organization_1","Compound, Simple, Variable","Simple","Simple","Acrisione cymosa",253
7249,"Acrisione cymosa","Leaf_organization_1","Compound, Simple, Variable","Simple","Simple","Acrisione cymosa",2
9679,"Acrisione cymosa","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione cymosa",1
9680,"Acrisione cymosa","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione cymosa",1
9681,"Acrisione cymosa","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione cymosa",1
9682,"Acrisione cymosa","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione cymosa",253
9683,"Acrisione cymosa","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione cymosa",253
9684,"Acrisione cymosa","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione cymosa",253
9685,"Acrisione cymosa","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione cymosa",300
9686,"Acrisione cymosa","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione cymosa",300
9687,"Acrisione cymosa","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione cymosa",300
17440,"Acrisione cymosa","Dispersal_syndrome_1","Abiotic, Biotic, Multiple, No_syndrome","Abiotic","Wind","Acrisione cymosa",1
17441,"Acrisione cymosa","Dispersal_syndrome_2","Anemochory, Autochory, Barochory, Hydrochory, Zoochory","Anemochory","Wind","Acrisione cymosa",1
21008,"Acrisione cymosa","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Perennial","Acrisione cymosa",300
21009,"Acrisione cymosa","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Perennial","Acrisione cymosa",264
21010,"Acrisione cymosa","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Evergreen","Acrisione cymosa",1
21011,"Acrisione cymosa","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Evergreen","Acrisione cymosa",2
23755,"Acrisione cymosa","Mycorrhizal_type_1","0 (""No""), 1 (""Yes"")","1","AM","Acrisione cymosa",1149
23756,"Acrisione cymosa","Mycorrhizal_type_2","Arbuscular, Ectomycorrhiza, Ectomycorrhiza-Arbuscular, Ericoid_mycorrhiza, Facultatively_Arbuscular, Nonmycorrhizal, Orchid_mycorrhiza, Uncertain","Arbuscular","AM","Acrisione cymosa",1149
28,"Acrisione denticulata","Max_plant_height","m","3","3","Acrisione denticulata",1
29,"Acrisione denticulata","Max_plant_height","m","3","3","Senecio yegua",5
30,"Acrisione denticulata","Max_plant_height","m","6","6","Acrisione denticulata",4
31,"Acrisione denticulata","Max_plant_height","m","3","3","Acrisione denticulata",3
32,"Acrisione denticulata","Max_plant_height","m","6","6","Acrisione denticulata pilota",2
2168,"Acrisione denticulata","Seed_mass","mg","0.63",NA,"Acrisione denticulata",184
2169,"Acrisione denticulata","Seed_mass","mg","0.387",NA,"Acrisione denticulata",184
4418,"Acrisione denticulata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Acrisione denticulata",1
4419,"Acrisione denticulata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Acrisione denticulata",76
4420,"Acrisione denticulata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Acrisione denticulata",254
4421,"Acrisione denticulata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Senecio yegua",250
4422,"Acrisione denticulata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Acrisione denticulata denticulata",253
4423,"Acrisione denticulata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Senecio yegua",131
4424,"Acrisione denticulata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Serrate","Acrisione denticulata pilota",2
7250,"Acrisione denticulata","Leaf_organization_1","Compound, Simple, Variable","Simple","Simple","Senecio yegua",250
7251,"Acrisione denticulata","Leaf_organization_1","Compound, Simple, Variable","Simple","Simple","Acrisione denticulata denticulata",253
9688,"Acrisione denticulata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione denticulata",1
9689,"Acrisione denticulata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione denticulata",1
9690,"Acrisione denticulata","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione denticulata",1
9691,"Acrisione denticulata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione denticulata",76
9692,"Acrisione denticulata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione denticulata",76
9693,"Acrisione denticulata","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione denticulata",76
9694,"Acrisione denticulata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione denticulata",4
9695,"Acrisione denticulata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione denticulata",4
9696,"Acrisione denticulata","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione denticulata",4
9697,"Acrisione denticulata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione denticulata",528
9698,"Acrisione denticulata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione denticulata",528
9699,"Acrisione denticulata","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione denticulata",528
9700,"Acrisione denticulata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione denticulata denticulata",253
9701,"Acrisione denticulata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione denticulata denticulata",253
9702,"Acrisione denticulata","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione denticulata denticulata",253
9703,"Acrisione denticulata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Achene","Acrisione denticulata pilota",2
9704,"Acrisione denticulata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Achene","Acrisione denticulata pilota",2
9705,"Acrisione denticulata","Fruit_type_3","Dehiscent, Indehiscent","Indehiscent","Achene","Acrisione denticulata pilota",2
17442,"Acrisione denticulata","Dispersal_syndrome_1","Abiotic, Biotic, Multiple, No_syndrome","Abiotic","Wind","Acrisione denticulata",1
17443,"Acrisione denticulata","Dispersal_syndrome_2","Anemochory, Autochory, Barochory, Hydrochory, Zoochory","Anemochory","Wind","Acrisione denticulata",1
17444,"Acrisione denticulata","Dispersal_syndrome_1","Abiotic, Biotic, Multiple, No_syndrome","Abiotic","Wind","Acrisione denticulata",821
17445,"Acrisione denticulata","Dispersal_syndrome_2","Anemochory, Autochory, Barochory, Hydrochory, Zoochory","Anemochory","Wind","Acrisione denticulata",821
17446,"Acrisione denticulata","Dispersal_syndrome_1","Abiotic, Biotic, Multiple, No_syndrome","Abiotic","Wind","Acrisione denticulata pilota",2
17447,"Acrisione denticulata","Dispersal_syndrome_2","Anemochory, Autochory, Barochory, Hydrochory, Zoochory","Anemochory","Wind","Acrisione denticulata pilota",2
19478,"Acrisione denticulata","Pollination_syndrome_1","Abiotic, Biotic, Multiple, No_pollinator","Biotic","Insect","Acrisione yegua",986
19479,"Acrisione denticulata","Pollination_syndrome_2","Ambophily, Anemophily, Autophily, Entomophily, Zoophily","Entomophily","Insect","Acrisione yegua",986
21012,"Acrisione denticulata","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Evergreen","Acrisione denticulata",1
21013,"Acrisione denticulata","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Evergreen","Acrisione denticulata",528
21014,"Acrisione denticulata","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Perennial","Acrisione denticulata denticulata",264
21015,"Acrisione denticulata","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Evergreen","Acrisione denticulata pilota",2
23757,"Acrisione denticulata","Mycorrhizal_type_1","0 (""No""), 1 (""Yes"")","1","AM","Acrisione denticulata denticulata",1149
23758,"Acrisione denticulata","Mycorrhizal_type_2","Arbuscular, Ectomycorrhiza, Ectomycorrhiza-Arbuscular, Ericoid_mycorrhiza, Facultatively_Arbuscular, Nonmycorrhizal, Orchid_mycorrhiza, Uncertain","Arbuscular","AM","Acrisione denticulata denticulata",1149
23759,"Acrisione denticulata","Mycorrhizal_type_1","0 (""No""), 1 (""Yes"")","1","AM","Acrisione denticulata pilota",1149
23760,"Acrisione denticulata","Mycorrhizal_type_2","Arbuscular, Ectomycorrhiza, Ectomycorrhiza-Arbuscular, Ericoid_mycorrhiza, Facultatively_Arbuscular, Nonmycorrhizal, Orchid_mycorrhiza, Uncertain","Arbuscular","AM","Acrisione denticulata pilota",1149
33,"Adenopeltis serrata","Max_plant_height","m","2","2","Adenopeltis serrata",6
34,"Adenopeltis serrata","Max_plant_height","m","2","2","Adenopeltis serrata",5
35,"Adenopeltis serrata","Max_plant_height","m","2","2","Adenopeltis serrata",3
36,"Adenopeltis serrata","Max_plant_height","m","2","2","Adenopeltis serrata",7
2170,"Adenopeltis serrata","Seed_mass","mg","32.482",NA,"Adenopeltis serrata",184
4425,"Adenopeltis serrata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Adenopeltis serrata",250
4426,"Adenopeltis serrata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed-glandular","Adenopeltis serrata",253
4427,"Adenopeltis serrata","Leaf_margin_type_2","Cerrate, Crenate, Crenulate, Glandular, Incised, Lobed, Mamelonated, Membranous, Mucronate, Revolute, Spiny, Strigose, Toothed, Wavy","Glandular","Toothed-glandular","Adenopeltis serrata",253
4428,"Adenopeltis serrata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Untoothed","Lobed","Adenopeltis serrata",255
4429,"Adenopeltis serrata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed","Adenopeltis serrata",76
4430,"Adenopeltis serrata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed-glandular","Adenopeltis serrata",256
4431,"Adenopeltis serrata","Leaf_margin_type_2","Cerrate, Crenate, Crenulate, Glandular, Incised, Lobed, Mamelonated, Membranous, Mucronate, Revolute, Spiny, Strigose, Toothed, Wavy","Glandular","Toothed-glandular","Adenopeltis serrata",256
4432,"Adenopeltis serrata","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Toothed-glandular","Adenopeltis serrata",7
4433,"Adenopeltis serrata","Leaf_margin_type_2","Cerrate, Crenate, Crenulate, Glandular, Incised, Lobed, Mamelonated, Membranous, Mucronate, Revolute, Spiny, Strigose, Toothed, Wavy","Glandular","Toothed-glandular","Adenopeltis serrata",7
7252,"Adenopeltis serrata","Leaf_organization_1","Compound, Simple, Variable","Simple","Simple","Adenopeltis serrata",250
7253,"Adenopeltis serrata","Leaf_organization_1","Compound, Simple, Variable","Simple","Simple","Adenopeltis serrata",253
9706,"Adenopeltis serrata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Capsule","Adenopeltis serrata",528
9707,"Adenopeltis serrata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Capsule","Adenopeltis serrata",528
9708,"Adenopeltis serrata","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Capsule","Adenopeltis serrata",528
9709,"Adenopeltis serrata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Capsule","Adenopeltis serrata",3
9710,"Adenopeltis serrata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Capsule","Adenopeltis serrata",3
9711,"Adenopeltis serrata","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Capsule","Adenopeltis serrata",3
9712,"Adenopeltis serrata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Capsule","Adenopeltis serrata",7
9713,"Adenopeltis serrata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Capsule","Adenopeltis serrata",7
9714,"Adenopeltis serrata","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Capsule","Adenopeltis serrata",7
9715,"Adenopeltis serrata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Capsule","Adenopeltis serrata",76
9716,"Adenopeltis serrata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Capsule","Adenopeltis serrata",76
9717,"Adenopeltis serrata","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Capsule","Adenopeltis serrata",76
9718,"Adenopeltis serrata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Capsule","Adenopeltis serrata",253
9719,"Adenopeltis serrata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Capsule","Adenopeltis serrata",253
9720,"Adenopeltis serrata","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Capsule","Adenopeltis serrata",253
9721,"Adenopeltis serrata","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Capsule","Adenopeltis serrata",541
9722,"Adenopeltis serrata","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Capsule","Adenopeltis serrata",541
9723,"Adenopeltis serrata","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Capsule","Adenopeltis serrata",541
21016,"Adenopeltis serrata","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Perennial","Adenopeltis serrata",264
21017,"Adenopeltis serrata","Leaf_habit","Deciduous, Evergreen, Variable","Evergreen","Evergreen","Adenopeltis serrata",3
23761,"Adenopeltis serrata","Mycorrhizal_type_1","0 (""No""), 1 (""Yes"")","1","AM","Adenopeltis serrata",1149
23762,"Adenopeltis serrata","Mycorrhizal_type_2","Arbuscular, Ectomycorrhiza, Ectomycorrhiza-Arbuscular, Ericoid_mycorrhiza, Facultatively_Arbuscular, Nonmycorrhizal, Orchid_mycorrhiza, Uncertain","Arbuscular","AM","Adenopeltis serrata",1149
37,"Adesmia aphylla","Max_plant_height","m","1.5","1.5","Adesmia aphylla",8
2171,"Adesmia aphylla","Seed_mass","mg","5.284",NA,"Adesmia aphylla",248
4434,"Adesmia aphylla","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Crenate","Adesmia aphylla",7
4435,"Adesmia aphylla","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Untoothed","Entire","Adesmia aphylla",7
4436,"Adesmia aphylla","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Toothed","Crenate","Adesmia aphylla",257
4437,"Adesmia aphylla","Leaf_margin_type_1","Toothed, Untoothed, No_leaves, Special_cases","Untoothed","Entire","Adesmia aphylla",257
9724,"Adesmia aphylla","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Legume","Adesmia aphylla",7
9725,"Adesmia aphylla","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Legume","Adesmia aphylla",7
9726,"Adesmia aphylla","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Legume","Adesmia aphylla",7
9727,"Adesmia aphylla","Fruit_type_1","Compound_fruit, None, Pseudo_fruit, Simple_fruit, Special","Simple_fruit","Legume","Adesmia aphylla",542
9728,"Adesmia aphylla","Fruit_type_2","Dry_pericarp, Fleshy","Dry_pericarp","Legume","Adesmia aphylla",542
9729,"Adesmia aphylla","Fruit_type_3","Dehiscent, Indehiscent","Dehiscent","Legume","Adesmia aphylla",542
19480,"Adesmia aphylla","Pollination_syndrome_1","Abiotic, Biotic, Multiple, No_pollinator","Biotic","Insect","Adesmia aphylla",987
19481,"Adesmia aphylla","Pollination_syndrome_2","Ambophily, Anemophily, Autophily, Entomophily, Zoophily","Entomophily","Insect","Adesmia aphylla",987
