"accepted_species","accepted_full_name","accepted_family","taxonID","accepted_name_rank","accepted_species_source","original_species","original_full_name"
"Acrisione cymosa","Acrisione cymosa","Asteraceae",2121645,"species","wcvp","Acrisione cymosa","Acrisione cymosa"
"Acrisione denticulata","Acrisione denticulata","Asteraceae",856531,"species","tropicos","Acrisione denticulata","Acrisione denticulata denticulata"
"Acrisione denticulata","Acrisione denticulata var. pilota","Asteraceae",1452984,"variety","wcvp","Acrisione denticulata","Acrisione denticulata pilota"
"Adenopeltis serrata","Adenopeltis serrata","Euphorbiaceae",1806825,"species","wcvp","Adenopeltis serrata","Adenopeltis serrata"
"Adesmia aphylla","Adesmia aphylla","Fabaceae",184748,"species","wcvp","Adesmia aphylla","Adesmia aphylla"
"Adesmia argentea","Adesmia argentea","Fabaceae",184755,"species","wcvp","Adesmia argentea","Adesmia argentea"
"Adesmia argyrophylla","Adesmia argyrophylla","Fabaceae",184756,"species","wcvp","Adesmia argyrophylla","Adesmia argyrophylla"
"Adesmia aromatica","Adesmia aromatica","Fabaceae",182507,"species","wcvp","Adesmia aromatica","Adesmia aromatica"
"Adesmia atacamensis","Adesmia atacamensis","Fabaceae",184759,"species","wcvp","Adesmia atacamensis","Adesmia atacamensis"
"Adesmia balsamica","Adesmia balsamica","Fabaceae",184766,"species","wcvp","Adesmia balsamica","Adesmia balsamica"
"Adesmia bedwellii","Adesmia bedwellii","Fabaceae",184767,"species","wcvp","Adesmia bedwellii","Adesmia bedwellii"
"Adesmia bijuga","Adesmia bijuga","Fabaceae",184769,"species","wcvp","Adesmia bijuga","Adesmia bijuga"
"Adesmia boronioides","Adesmia boronioides","Fabaceae",1497267,"species","wcvp","Adesmia boronioides","Adesmia boronioides"
"Adesmia bracteata","Adesmia bracteata","Fabaceae",184774,"species","wcvp","Adesmia bracteata","Adesmia bracteata"
"Adesmia calycicomosa","Adesmia calycicomosa","Fabaceae",182509,"species","wcvp","Adesmia calycicomosa","Adesmia calycicomosa"
"Adesmia colinensis","Adesmia colinensis","Fabaceae",2183669,"species","wcvp","Adesmia colinensis","Adesmia colinensis"
"Adesmia concinna","Adesmia concinna","Fabaceae",184798,"species","wcvp","Adesmia concinna","Adesmia concinna"
"Adesmia confusa","Adesmia confusa","Fabaceae",246451,"species","wcvp","Adesmia confusa","Adesmia confusa"
"Adesmia coquimbensis","Adesmia coquimbensis","Fabaceae",182511,"species","wcvp","Adesmia coquimbensis","Adesmia coquimbensis"
"Adesmia curvifolia","Adesmia curvifolia","Fabaceae",184805,"species","wcvp","Adesmia curvifolia","Adesmia curvifolia"
"Adesmia dessaueri","Adesmia dessaueri","Fabaceae",2183672,"species","wcvp","Adesmia dessaueri","Adesmia dessaueri"
"Adesmia dichotoma","Adesmia dichotoma","Fabaceae",184819,"species","wcvp","Adesmia dichotoma","Adesmia dichotoma"
"Adesmia dumosa","Adesmia dumosa","Fabaceae",184824,"species","wcvp","Adesmia dumosa","Adesmia dumosa"
"Adesmia elegans","Adesmia elegans","Fabaceae",184827,"species","wcvp","Adesmia elegans","Adesmia elegans"
"Adesmia erinacea","Adesmia erinacea","Fabaceae",184831,"species","wcvp","Adesmia erinacea","Adesmia erinacea"
"Adesmia glutinosa","Adesmia glutinosa","Fabaceae",184858,"species","wcvp","Adesmia glutinosa","Adesmia glutinosa"
"Adesmia godoyae","Adesmia godoyae","Fabaceae",2183676,"species","wcvp","Adesmia godoyae","Adesmia godoyae"
"Adesmia gracilis","Adesmia gracilis","Fabaceae",184860,"species","wcvp","Adesmia gracilis","Adesmia gracilis"
"Adesmia hirsuta","Adesmia hirsuta","Fabaceae",184872,"species","wcvp","Adesmia hirsuta","Adesmia hirsuta"
"Adesmia horrida","Adesmia horrida","Fabaceae",184875,"species","wcvp","Adesmia horrida","Adesmia horrida"
"Adesmia hystrix","Adesmia hystrix","Fabaceae",184882,"species","wcvp","Adesmia hystrix","Adesmia hystrix"
"Adesmia loudonia","Adesmia loudonia","Fabaceae",184914,"species","wcvp","Adesmia loudonia","Adesmia loudonia"
"Adesmia melanocaulos","Adesmia melanocaulos","Fabaceae",184920,"species","wcvp","Adesmia melanocaulos","Adesmia melanocaulos"
"Adesmia melanthes","Adesmia melanthes","Fabaceae",184921,"species","wcvp","Adesmia melanthes","Adesmia melanthes"
"Adesmia microphylla","Adesmia microphylla","Fabaceae",184925,"species","wcvp","Adesmia microphylla","Adesmia microphylla"
"Adesmia monosperma","Adesmia monosperma","Fabaceae",184928,"species","wcvp","Adesmia monosperma","Adesmia monosperma"
"Adesmia obcordata","Adesmia obcordata","Fabaceae",184948,"species","wcvp","Adesmia obcordata","Adesmia obcordata"
"Adesmia obovata","Adesmia obovata","Fabaceae",184949,"species","wcvp","Adesmia obovata","Adesmia obovata"
"Adesmia obscura","Adesmia obscura","Fabaceae",184950,"species","wcvp","Adesmia obscura","Adesmia obscura"
"Adesmia odontophylla","Adesmia odontophylla","Fabaceae",184952,"species","wcvp","Adesmia odontophylla","Adesmia odontophylla"
"Adesmia ovallensis","Adesmia ovallensis","Fabaceae",1005152,"species","wcvp","Adesmia ovallensis","Adesmia ovallensis"
"Adesmia pauciflora","Adesmia pauciflora","Fabaceae",184967,"species","wcvp","Adesmia pauciflora","Adesmia pauciflora"
"Adesmia pearcei","Adesmia pearcei","Fabaceae",184968,"species","wcvp","Adesmia pearcei","Adesmia pearcei"
"Adesmia pedicellata","Adesmia pedicellata","Fabaceae",184969,"species","wcvp","Adesmia pedicellata","Adesmia pedicellata"
"Adesmia pentaphylla","Adesmia pentaphylla","Fabaceae",184971,"species","wcvp","Adesmia pentaphylla","Adesmia pentaphylla"
"Adesmia peraltae","Adesmia peraltae","Fabaceae",2183687,"species","wcvp","Adesmia peraltae","Adesmia peraltae"
"Adesmia phylloidea","Adesmia phylloidea","Fabaceae",184973,"species","wcvp","Adesmia phylloidea","Adesmia phylloidea"
"Adesmia pinifolia","Adesmia pinifolia","Fabaceae",184974,"species","wcvp","Adesmia pinifolia","Adesmia pinifolia"
"Adesmia pirionii","Adesmia pirionii","Fabaceae",1497286,"species","wcvp","Adesmia pirionii","Adesmia pirionii"
"Adesmia polyphylla","Adesmia polyphylla","Fabaceae",184977,"species","wcvp","Adesmia polyphylla","Adesmia polyphylla"
"Adesmia propinqua","Adesmia propinqua","Fabaceae",184978,"species","wcvp","Adesmia propinqua","Adesmia propinqua"
"Adesmia pungens","Adesmia pungens","Fabaceae",184987,"species","wcvp","Adesmia pungens","Adesmia pungens"
"Adesmia renjifoana","Adesmia renjifoana","Fabaceae",2183691,"species","wcvp","Adesmia renjifoana","Adesmia renjifoana"
"Adesmia resinosa","Adesmia resinosa","Fabaceae",2183692,"species","wcvp","Adesmia resinosa","Adesmia resinosa"
"Adesmia rubroviridis","Adesmia rubroviridis","Fabaceae",185010,"species","wcvp","Adesmia rubroviridis","Adesmia rubroviridis"
"Adesmia schneideri","Adesmia schneideri","Fabaceae",185017,"species","wcvp","Adesmia schneideri","Adesmia schneideri"
"Adesmia spinosissima","Adesmia spinosissima","Fabaceae",185028,"species","wcvp","Adesmia spinosissima","Adesmia spinosissima"
"Adesmia trifoliata","Adesmia trifoliata","Fabaceae",187269,"species","wcvp","Adesmia trifoliata","Adesmia trifoliata"
"Adesmia uspallatensis","Adesmia uspallatensis","Fabaceae",187284,"species","wcvp","Adesmia uspallatensis","Adesmia uspallatensis"
"Adesmia verrucosa","Adesmia verrucosa","Fabaceae",203926,"species","wcvp","Adesmia verrucosa","Adesmia verrucosa"
"Adesmia viscosa","Adesmia viscosa","Fabaceae",2183699,"species","wcvp","Adesmia viscosa","Adesmia viscosa"
"Adesmia volckmannii","Adesmia volckmannii","Fabaceae",187299,"species","wcvp","Adesmia volckmannii","Adesmia volckmannii"
"Adesmia zoellneri","Adesmia zoellneri","Fabaceae",219408,"species","wcvp","Adesmia zoellneri","Adesmia zoellneri"
"Aextoxicon punctatum","Aextoxicon punctatum","Aextoxicaceae",176326,"species","wcvp","Aextoxicon punctatum","Aextoxicon punctatum"
"Ageratina glechonophylla","Ageratina glechonophylla","Asteraceae",1436008,"species","wcvp","Eupatorium glechonophyllum","Eupatorium glechonophyllum"
"Airampoa soehrensii","Airampoa soehrensii","Cactaceae",1378621,"species","wcvp","soehrensii","Tunilla soehrensii"
"Aloysia deserticola","Aloysia deserticola","Verbenaceae",2292914,"species","wcvp","Aloysia deserticola","Aloysia deserticola"
"Aloysia gratissima","Aloysia gratissima","Verbenaceae",528255,"species","wcvp","Aloysia gratissima","Aloysia gratissima"
"Aloysia salviifolia","Aloysia salviifolia","Verbenaceae",528920,"species","wcvp","Aloysia salviifolia","Aloysia salviifolia"
"Aloysia tarapacana","Aloysia tarapacana","Verbenaceae",2292917,"species","wcvp","Aloysia tarapacana","Aloysia tarapacana"
"Aloysia trifida","Aloysia trifida","Verbenaceae",2292918,"species","wcvp","Aloysia trifida","Aloysia trifida"
"Ambrosia artemisioides","Ambrosia artemisioides","Asteraceae",66893,"species","wcvp","Ambrosia artemisioides","Ambrosia artemisioides"
"Amomyrtus luma","Amomyrtus luma","Myrtaceae",1897381,"species","wcvp","Amomyrtus luma","Amomyrtus luma"
"Amomyrtus meli","Amomyrtus meli","Myrtaceae",1897387,"species","wcvp","Amomyrtus meli","Amomyrtus meli"
"Anarthrophyllum andicolum","Anarthrophyllum andicolum","Fabaceae",1162610,"species","tropicos","Anarthrophyllum andicolum","Anarthrophyllum andicolum"
"Anarthrophyllum cumingii","Anarthrophyllum cumingii","Fabaceae",1500650,"species","wcvp","Anarthrophyllum cumingii","Anarthrophyllum cumingii"
"Anarthrophyllum elegans","Anarthrophyllum elegans","Fabaceae",2183986,"species","wcvp","Anarthrophyllum elegans","Anarthrophyllum elegans"
"Anarthrophyllum rigidum","Anarthrophyllum rigidum","Fabaceae",204321,"species","wcvp","Anarthrophyllum rigidum","Anarthrophyllum rigidum"
"Andeimalva chilensis","Andeimalva chilensis","Malvaceae",1692113,"species","wcvp","Andeimalva chilensis","Andeimalva chilensis"
"Anisomeria littoralis","Anisomeria littoralis","Phytolaccaceae",360537,"species","wcvp","Anisomeria littoralis","Anisomeria littoralis"
"Aphyllocladus denticulatus","Aphyllocladus denticulatus var. calvus","Asteraceae",72290,"variety","wcvp","Aphyllocladus denticulatus","Aphyllocladus denticulatus calvus"
"Aphyllocladus denticulatus","Aphyllocladus denticulatus","Asteraceae",72288,"species","tropicos","Aphyllocladus denticulatus","Aphyllocladus denticulatus denticulatus"
"Araucaria araucana","Araucaria araucana","Araucariaceae",1538862,"species","wcvp","Araucaria araucana","Araucaria araucana"
"Aristeguietia salvia","Aristeguietia salvia","Asteraceae",62375,"species","tropicos","Eupatorium salvium","Eupatorium salvium"
"Aristotelia chilensis","Aristotelia chilensis","Elaeocarpaceae",166457,"species","wcvp","Aristotelia chilensis","Aristotelia chilensis"
"Artemisia copa","Artemisia copa var. copa","Asteraceae",72292,"variety","tropicos","Artemisia copa","Artemisia copa copa"
"Artemisia copa","Artemisia copa var. trifida","Asteraceae",2123171,"variety","wcvp","Artemisia copa","Artemisia copa trifida"
"Atriplex atacamensis","Atriplex atacamensis","Amaranthaceae",134832,"species","wcvp","Atriplex atacamensis","Atriplex atacamensis"
"Atriplex chizae","Atriplex chizae","Amaranthaceae",1169997,"species","wcvp","Atriplex chizae","Atriplex chizae"
"Atriplex clivicola","Atriplex clivicola","Amaranthaceae",1701759,"species","wcvp","Atriplex clivicola","Atriplex clivicola"
"Atriplex coquimbana","Atriplex coquimbana","Amaranthaceae",135343,"species","wcvp","Atriplex coquimbana","Atriplex coquimbana"
"Atriplex costellata","Atriplex costellata","Amaranthaceae",135344,"species","wcvp","Atriplex costellata","Atriplex costellata"
"Atriplex glaucescens","Atriplex glaucescens","Amaranthaceae",764340,"species","wcvp","Atriplex glaucescens","Atriplex glaucescens"
"Atriplex hystrix","Atriplex hystrix","Amaranthaceae",1170043,"species","wcvp","Atriplex hystrix","Atriplex hystrix"
