"accepted_species","Regiones","Pres"
"Acrisione cymosa","AIS",1
"Acrisione cymosa","ANT",0
"Acrisione cymosa","ARA",1
"Acrisione cymosa","ATA",0
"Acrisione cymosa","AYP",0
"Acrisione cymosa","BIO",1
"Acrisione cymosa","COQ",0
"Acrisione cymosa","IPA",0
"Acrisione cymosa","JFE",0
"Acrisione cymosa","LBO",0
"Acrisione cymosa","LLA",1
"Acrisione cymosa","LRI",1
"Acrisione cymosa","MAG",0
"Acrisione cymosa","MAU",0
"Acrisione cymosa","NUB",0
"Acrisione cymosa","RME",0
"Acrisione cymosa","TAR",0
"Acrisione cymosa","VAL",1
"Acrisione denticulata","AIS",0
"Acrisione denticulata","ANT",0
"Acrisione denticulata","ARA",1
"Acrisione denticulata","ATA",0
"Acrisione denticulata","AYP",0
"Acrisione denticulata","BIO",1
"Acrisione denticulata","COQ",1
"Acrisione denticulata","IPA",0
"Acrisione denticulata","JFE",0
"Acrisione denticulata","LBO",1
"Acrisione denticulata","LLA",1
"Acrisione denticulata","LRI",1
"Acrisione denticulata","MAG",0
"Acrisione denticulata","MAU",1
"Acrisione denticulata","NUB",1
"Acrisione denticulata","RME",1
"Acrisione denticulata","TAR",0
"Acrisione denticulata","VAL",1
"Adenopeltis serrata","AIS",0
"Adenopeltis serrata","ANT",0
"Adenopeltis serrata","ARA",0
"Adenopeltis serrata","ATA",0
"Adenopeltis serrata","AYP",0
"Adenopeltis serrata","BIO",1
"Adenopeltis serrata","COQ",1
"Adenopeltis serrata","IPA",0
"Adenopeltis serrata","JFE",0
"Adenopeltis serrata","LBO",1
"Adenopeltis serrata","LLA",0
"Adenopeltis serrata","LRI",0
"Adenopeltis serrata","MAG",0
"Adenopeltis serrata","MAU",1
"Adenopeltis serrata","NUB",1
"Adenopeltis serrata","RME",1
"Adenopeltis serrata","TAR",0
"Adenopeltis serrata","VAL",1
"Adesmia aphylla","AIS",0
"Adesmia aphylla","ANT",0
"Adesmia aphylla","ARA",0
"Adesmia aphylla","ATA",1
"Adesmia aphylla","AYP",0
"Adesmia aphylla","BIO",0
"Adesmia aphylla","COQ",1
"Adesmia aphylla","IPA",0
"Adesmia aphylla","JFE",0
"Adesmia aphylla","LBO",0
"Adesmia aphylla","LLA",0
"Adesmia aphylla","LRI",0
"Adesmia aphylla","MAG",0
"Adesmia aphylla","MAU",0
"Adesmia aphylla","NUB",0
"Adesmia aphylla","RME",0
"Adesmia aphylla","TAR",0
"Adesmia aphylla","VAL",0
"Adesmia argentea","AIS",0
"Adesmia argentea","ANT",0
"Adesmia argentea","ARA",0
"Adesmia argentea","ATA",1
"Adesmia argentea","AYP",0
"Adesmia argentea","BIO",0
"Adesmia argentea","COQ",1
"Adesmia argentea","IPA",0
"Adesmia argentea","JFE",0
"Adesmia argentea","LBO",0
"Adesmia argentea","LLA",0
"Adesmia argentea","LRI",0
"Adesmia argentea","MAG",0
"Adesmia argentea","MAU",0
"Adesmia argentea","NUB",0
"Adesmia argentea","RME",0
"Adesmia argentea","TAR",1
"Adesmia argentea","VAL",1
"Adesmia argyrophylla","AIS",0
"Adesmia argyrophylla","ANT",0
"Adesmia argyrophylla","ARA",0
"Adesmia argyrophylla","ATA",1
"Adesmia argyrophylla","AYP",0
"Adesmia argyrophylla","BIO",0
"Adesmia argyrophylla","COQ",1
"Adesmia argyrophylla","IPA",0
"Adesmia argyrophylla","JFE",0
"Adesmia argyrophylla","LBO",0
"Adesmia argyrophylla","LLA",0
"Adesmia argyrophylla","LRI",0
"Adesmia argyrophylla","MAG",0
"Adesmia argyrophylla","MAU",0
"Adesmia argyrophylla","NUB",0
"Adesmia argyrophylla","RME",0
"Adesmia argyrophylla","TAR",0
"Adesmia argyrophylla","VAL",0
"Adesmia aromatica","AIS",0
"Adesmia aromatica","ANT",0
"Adesmia aromatica","ARA",0
"Adesmia aromatica","ATA",0
"Adesmia aromatica","AYP",0
"Adesmia aromatica","BIO",0
"Adesmia aromatica","COQ",1
"Adesmia aromatica","IPA",0
"Adesmia aromatica","JFE",0
"Adesmia aromatica","LBO",0
"Adesmia aromatica","LLA",0
"Adesmia aromatica","LRI",0
"Adesmia aromatica","MAG",0
"Adesmia aromatica","MAU",0
"Adesmia aromatica","NUB",0
"Adesmia aromatica","RME",0
"Adesmia aromatica","TAR",0
"Adesmia aromatica","VAL",0
"Adesmia atacamensis","AIS",0
"Adesmia atacamensis","ANT",1
"Adesmia atacamensis","ARA",0
"Adesmia atacamensis","ATA",1
"Adesmia atacamensis","AYP",1
"Adesmia atacamensis","BIO",0
"Adesmia atacamensis","COQ",1
"Adesmia atacamensis","IPA",0
"Adesmia atacamensis","JFE",0
"Adesmia atacamensis","LBO",0
"Adesmia atacamensis","LLA",0
"Adesmia atacamensis","LRI",0
"Adesmia atacamensis","MAG",0
"Adesmia atacamensis","MAU",0
"Adesmia atacamensis","NUB",0
"Adesmia atacamensis","RME",0
"Adesmia atacamensis","TAR",1
"Adesmia atacamensis","VAL",0
"Adesmia balsamica","AIS",0
"Adesmia balsamica","ANT",0
"Adesmia balsamica","ARA",0
"Adesmia balsamica","ATA",0
"Adesmia balsamica","AYP",0
"Adesmia balsamica","BIO",0
"Adesmia balsamica","COQ",0
"Adesmia balsamica","IPA",0
"Adesmia balsamica","JFE",0
"Adesmia balsamica","LBO",0
"Adesmia balsamica","LLA",0
"Adesmia balsamica","LRI",0
"Adesmia balsamica","MAG",0
"Adesmia balsamica","MAU",0
"Adesmia balsamica","NUB",0
"Adesmia balsamica","RME",1
"Adesmia balsamica","TAR",0
"Adesmia balsamica","VAL",1
"Adesmia bedwellii","AIS",0
